Id,GEOID,Geography,Calls_2012,Cases_2012,Est_2012,Calls_2013,Cases_2013,Est_2013,Calls_2014,Cases_2014,Est_2014,Calls_2015,Cases_2015,Est_2015,Calls_2016,Cases_2016,Est_2016
0500000US05067,5067,"Jackson County, Arkansas",0,0,17649,1,0,17690,1,0,17565,1,0,17350,1,0,17221
0500000US05069,5069,"Jefferson County, Arkansas",2,0,74618,4,1,73150,2,1,72376,3,1,71764,3,1,70016
0500000US05071,5071,"Johnson County, Arkansas",1,0,25911,1,0,25896,1,0,25998,1,0,26146,1,0,26176
0500000US05073,5073,"Lafayette County, Arkansas",0,0,7441,0,0,7245,0,0,7119,0,0,6981,0,0,6847
0500000US05075,5075,"Lawrence County, Arkansas",0,0,17047,1,0,17067,1,0,16987,1,0,16741,1,0,16735
0500000US05077,5077,"Lee County, Arkansas",0,0,10162,1,0,9991,0,0,9798,0,0,9645,0,0,9310
0500000US05079,5079,"Lincoln County, Arkansas",0,0,14139,1,0,14023,0,0,13967,1,0,13841,1,0,13705
0500000US05081,5081,"Little River County, Arkansas",0,0,12920,1,0,12739,0,0,12525,0,0,12445,1,0,12451
0500000US05083,5083,"Logan County, Arkansas",1,0,22018,1,0,22111,1,0,21959,1,0,21796,1,0,21792
0500000US05085,5085,"Lonoke County, Arkansas",2,0,70101,4,1,70807,2,1,71563,3,1,71697,3,1,72228
0500000US05087,5087,"Madison County, Arkansas",0,0,15619,1,0,15684,1,0,15714,1,0,15717,1,0,16072
0500000US05089,5089,"Marion County, Arkansas",0,0,16616,1,0,16446,1,0,16421,1,0,16214,1,0,16325
0500000US05091,5091,"Miller County, Arkansas",1,0,43649,2,0,43440,1,0,43556,2,1,43899,2,1,43787
0500000US05093,5093,"Mississippi County, Arkansas",1,0,45531,3,0,44687,2,0,44243,2,1,43699,2,1,42835
0500000US05095,5095,"Monroe County, Arkansas",0,0,7843,0,0,7670,0,0,7612,0,0,7415,0,0,7169
0500000US05097,5097,"Montgomery County, Arkansas",0,0,9320,1,0,9222,0,0,9107,0,0,8972,0,0,8879
0500000US05099,5099,"Nevada County, Arkansas",0,0,8911,1,0,8791,0,0,8689,0,0,8553,0,0,8398
0500000US05101,5101,"Newton County, Arkansas",0,0,8087,0,0,8078,0,0,7914,0,0,7923,0,0,7936
0500000US05103,5103,"Ouachita County, Arkansas",1,0,25405,1,0,24969,1,0,24799,1,0,24370,1,0,24098
0500000US05105,5105,"Perry County, Arkansas",0,0,10336,1,0,10337,0,0,10244,0,0,10182,0,0,10132
